Synechococcus,154
Calothrix,5
Cyanobacteria,117
Thermanaerovibrio,1
Planktothrix,16
Rubidibacter,1
Microcystis,87
Psychrobacter,1
Lyngbya,3
Fischerella,43
Chlorogloeopsis,3
Prochlorothrix,2
Oscillatoriales,35
Anabaena,10
Planococcus,2
Dolichospermum,3
Prochlorococcus,1018
Kamptonema,3
Pseudanabaena,10
Pleurocapsa,2
Leptolyngbya,24
Geminocystis,1
Nodosilinea,1
Spirulina,3
Synechocystis,1
Mastigocladopsis,1
Gloeocapsa,1
Xenococcus,1
Cyanobacterium,8
[Scytonema,1
Nostoc,34
Aphanothece,4
Mastigocoleus,2
Erythrobacter,1
[Leptolyngbya],1
Cyanobium,13
Trichodesmium,2
Limnoraphis,1
Arthrospira,6
Cylindrospermopsis,20
Geitlerinema,4
Aphanizomenon,7
Phormidesmis,6
Phormidium,5
Hapalosiphon,1
Limnothrix,4
Planktothricoides,1
Hydrocoleum,1
Candidatus,11
Kocuria,1
Aliterella,1
Scytonema,3
Aphanocapsa,4
Myxosarcina,1
Neosynechococcus,1
Cyanothece,4
Richelia,9
Oscillatoria,4
Sphaerospermopsis,4
Elainella,1
Crocosphaera,8
Coleofasciculus,1
Raphidiopsis,1
Nodularia,3
Acaryochloris,2
Microcoleus,2
Tolypothrix,2
Synechococcaceae,56
Hyella,1
Filamentous,9
Moorea,26
Fortiea,1
Synechococcales,5
Microcoleaceae,3
Symploca,12
Okeania,24
Desertifilum,2
Merismopedia,2
Trichormus,2
Chroococcidiopsis,4
Hydrococcus,1
Chroogloeocystis,1
Microbacterium,1
Mastigocladus,2
Westiellopsis,1
Unicellular,2
Elstera,1
Sandarakinorhabdus,1
Niveispirillum,1
Flavobacterium,2
Rhodoferax,1
Vulcanococcus,1
Euhalothece,1
Roseofilum,1
Alkalinema,1
Tychonema,1
Chroococcales,2
Cuspidothrix,1
Porphyrobacter,1
Rhizobium,1
Tabrizicola,1
Uliginosibacterium,1
Emticicia,1
Novosphingobium,1
Cyanosarcina,1
Chlorogloea,1
Chamaesiphon,1
Halomicronema,1
Muricauda,1
Gloeocapsopsis,1
Hapalosiphonaceae,1
Snowella,1
Nostocaceae,1
Nostocales,3
Hormoscilla,2
